file_path	file_type	occurrences_in_content	line_numbers	notes
# Section 1: Shell/text files containing "elengenix" (case-insensitive)
apply_to_fork.sh	shell	27	6;8;16;17;19;67;68;69;85;86;87;92;94;95;96;97;102;104;109;110;131;135;138	Fork-integration helper script. 22 matched lines but 27 total token hits (line 19/67/131/135 etc. count multiple per line). Hardcoded paths to /tmp/elengenix-integration and elengenix/ subdirs.
apply_to_fork_termux.sh	shell	8	7;9;11;73;74;75;76	Termux variant of the fork-integration script. Uses $HOME/.tmp-elengenix-integration instead of /tmp.
prompts/system_prompt.txt	text	5	1;18;95;210;212	System prompt template. Brand identity lines (L1 "You are Elengenix AI", L18, L95). L210/212 are uppercase ELENGENIX in a section heading.
assets/color-cycle.svg	text/svg	2	15;29	References elengenix.png and elengenix-red.png as <image href>. ASCII text (verified via `file`).
assets/typing-animation.svg	text/svg	1	21	Animated SVG with `<text>elengenix scan target.com</text>` typed effect. ASCII text.
assets/logo-animated.svg	text/svg	1	77	Animated logo SVG with `<tspan>elengenix scan target.com</tspan>`. Unicode text, UTF-8 (verified via `file`). IS TEXT, NOT BINARY.
.env.example	text/example	1	2	Comment header "# Elengenix Environment Variables Template".
config.yaml.example	text/example	1	2	Comment header "# Elengenix Configuration Template (v99999)".
requirements.txt	text	1	2	Comment header "# Elengenix - Professional Security Stack".
MEMORY.md.example	text/example	1	5	Comment "# This file is AUTO-GENERATED and AUTO-UPDATED by Elengenix."
# Section 2: Files with "elengenix" in FILENAME (binary or text) — grep -I on filename only
assets/elengenix-red.png	binary/png	N/A	N/A	PNG image, 770x260, 8-bit RGBA. Brand-rename target: rename file + update href in assets/color-cycle.svg (L29) + audit/phase1-e-aux.md flagged this.
assets/elengenix.png	binary/png	N/A	N/A	PNG image, 770x260, 8-bit RGBA. Referenced by assets/color-cycle.svg (L15). Rename requires SVG href update.
elengenix-pentagi-integration.tar.gz	binary/gzip	N/A	N/A	gzip compressed archive, 775,547 bytes. CRITICAL: do NOT modify in-place (binary). MD5 de6bb4d88cfb7f131cd018547b1e5cd5 (per P1-E audit). If rename needed, extract → rename internal paths → repackage as NEW tarball. apply_to_fork.sh and apply_to_fork_termux.sh both reference this filename as ARCHIVE constant.
# Section 3: Audited-but-clean shell/text files (zero "elengenix" content matches)
assets/red-divider.svg	text/svg	0	-	Clean. Pure SVG divider decoration.
mcp.json.example	text/example	0	-	Clean. MCP config template (separate from .mcp.json which has 2 hits per P1-C).
prompts/agent_prompt.txt	text	0	-	Clean agent prompt. No brand references.
prompts/vuln_finder_system.txt	text	0	-	Clean vuln-finder prompt. No brand references.
# Summary
TOTAL_shell_text_files_with_elengenix:	10
TOTAL_shell_text_files_audited:	14
TOTAL_files_with_elengenix_in_filename:	3	(binary: elengenix-red.png, elengenix.png, elengenix-pentagi-integration.tar.gz)
TOTAL_content_occurrences_across_shell_text:	48
